customer_id,customer_name,city,state,signup_date
C100000,Customer_0,Pune,Maharashtra,2024-05-07
C100001,Customer_1,Pune,Maharashtra,2024-02-25
C100002,Customer_2,Mumbai,Maharashtra,2023-01-25
C100003,Customer_3,Chennai,Tamil Nadu,2024-04-02
C100004,Customer_4,Surat,Gujarat,2023-01-07
C100005,Customer_5,Ahmedabad,Gujarat,2024-07-19
C100006,Customer_6,Pune,Maharashtra,2024-02-19
C100007,Customer_7,Chennai,Tamil Nadu,2024-04-01
C100008,Customer_8,Ahmedabad,Gujarat,2023-08-18
C100009,Customer_9,Hyderabad,Telangana,2024-03-15
C100010,Customer_10,Jaipur,Rajasthan,2023-09-04
C100011,Customer_11,Kolkata,West Bengal,2023-09-17
C100012,Customer_12,Surat,Gujarat,2024-05-03
C100013,Customer_13,Bengaluru,Karnataka,2024-05-01
C100014,Customer_14,Chennai,Tamil Nadu,2023-05-25
C100015,Customer_15,Bengaluru,Karnataka,2023-08-22
C100016,Customer_16,Delhi,Delhi,2024-03-27
C100017,Customer_17,Jaipur,Rajasthan,2023-10-18
C100018,Customer_18,Chennai,Tamil Nadu,2024-01-04
C100019,Customer_19,Surat,Gujarat,2024-10-30
C100020,Customer_20,Jaipur,Rajasthan,2024-05-12
C100021,Customer_21,Bengaluru,Karnataka,2024-09-05
C100022,Customer_22,Chennai,Tamil Nadu,2023-06-02
C100023,Customer_23,Delhi,Delhi,2024-06-18
C100024,Customer_24,Delhi,Delhi,2024-12-01
C100025,Customer_25,Hyderabad,Telangana,2023-03-31
C100026,Customer_26,Ahmedabad,Gujarat,2023-07-12
C100027,Customer_27,Surat,Gujarat,2023-11-04
C100028,Customer_28,Delhi,Delhi,2024-06-14
C100029,Customer_29,Hyderabad,Telangana,2024-10-08
C100030,Customer_30,Pune,Maharashtra,2024-11-20
C100031,Customer_31,Hyderabad,Telangana,2023-05-06
C100032,Customer_32,Jaipur,Rajasthan,2023-03-02
C100033,Customer_33,Kolkata,West Bengal,2023-06-08
C100034,Customer_34,Surat,Gujarat,2023-12-18
C100035,Customer_35,Ahmedabad,Gujarat,2023-02-07
